"Set","Soil_Organic_Carbon_kg_m2","Type"
263,5.62996945572088,"MIMICS"
264,4.54977210085797,"MIMICS"
265,3.84557172930927,"MIMICS"
266,4.99207443266075,"MIMICS"
267,4.51952547831613,"MIMICS"
268,3.93005224427414,"MIMICS"
269,4.01127944282295,"MIMICS"
270,4.15714146695999,"MIMICS"
271,4.36865327768793,"MIMICS"
273,4.40333677653027,"MIMICS"
274,3.7578873944177,"MIMICS"
275,5.22984895591433,"MIMICS"
276,5.30022956582041,"MIMICS"
278,3.1857917840489,"MIMICS"
283,2.21888354310599,"MIMICS"
286,2.90961445264891,"MIMICS"
287,2.69519241966801,"MIMICS"
288,2.7332328947898,"MIMICS"
289,2.48551539239862,"MIMICS"
290,3.08362582621383,"MIMICS"
291,2.45357139057877,"MIMICS"
292,3.96420027076539,"MIMICS"
293,3.42496042950839,"MIMICS"
294,3.64468794602207,"MIMICS"
295,2.9046252155894,"MIMICS"
296,2.56714041397955,"MIMICS"
297,3.90284676450278,"MIMICS"
298,2.57253985669313,"MIMICS"
299,2.67986549367283,"MIMICS"
300,2.38507263643464,"MIMICS"
301,2.7461974040298,"MIMICS"
302,2.7451924882951,"MIMICS"
303,2.77803613557217,"MIMICS"
306,3.23602673724065,"MIMICS"
309,2.24192417179174,"MIMICS"
310,2.26678425099096,"MIMICS"
311,2.36342259202536,"MIMICS"
319,2.54746766844135,"MIMICS"
320,2.73825232122057,"MIMICS"
321,3.05332462463842,"MIMICS"
322,2.98173166557813,"MIMICS"
323,2.5540591180598,"MIMICS"
324,2.22029637089002,"MIMICS"
325,2.96049990148873,"MIMICS"
326,2.84996571897523,"MIMICS"
327,2.52053936514405,"MIMICS"
328,2.75156468327046,"MIMICS"
329,2.47186388690632,"MIMICS"
330,2.75432156626878,"MIMICS"
331,2.20912554079487,"MIMICS"
332,2.45412903691874,"MIMICS"
333,2.24242434589613,"MIMICS"
334,4.08127636018109,"MIMICS"
335,3.56761201825243,"MIMICS"
336,4.49582783494776,"MIMICS"
338,5.00077109946577,"MIMICS"
339,5.16915562044768,"MIMICS"
340,4.88623740472885,"MIMICS"
341,5.04857874232926,"MIMICS"
342,5.32182347689478,"MIMICS"
343,4.19328732051621,"MIMICS"
344,4.06938663943999,"MIMICS"
345,4.49649550362417,"MIMICS"
346,4.01146137905632,"MIMICS"
347,4.20754567565327,"MIMICS"
348,3.60437834336605,"MIMICS"
349,4.12429741095394,"MIMICS"
350,3.27522146369434,"MIMICS"
351,4.84571606771671,"MIMICS"
352,6.87074561049761,"MIMICS"
353,4.38454629454703,"MIMICS"
354,4.59885801578374,"MIMICS"
355,5.54516520876279,"MIMICS"
356,6.65946178686421,"MIMICS"
357,4.80179206505609,"MIMICS"
358,5.16371258844944,"MIMICS"
359,5.10315225484783,"MIMICS"
360,5.45595976473577,"MIMICS"
361,4.0094784704526,"MIMICS"
362,5.11166970332644,"MIMICS"
363,8.48034732670587,"MIMICS"
364,8.87551766615513,"MIMICS"
365,6.72268757441026,"MIMICS"
366,3.57195414478925,"MIMICS"
367,4.52463657527013,"MIMICS"
368,3.72752733597362,"MIMICS"
369,4.43735736155356,"MIMICS"
370,5.87382975952906,"MIMICS"
371,4.38430938974529,"MIMICS"
372,4.00229979049234,"MIMICS"
373,5.22809190534145,"MIMICS"
374,5.40237763789379,"MIMICS"
375,3.92874114561367,"MIMICS"
376,4.69297299059264,"MIMICS"
377,5.64300769777601,"MIMICS"
378,5.67977860043312,"MIMICS"
379,4.00917469177784,"MIMICS"
380,4.09563232467532,"MIMICS"
381,3.58480779930388,"MIMICS"
382,2.68595891630609,"MIMICS"
383,6.28301995114907,"MIMICS"
384,5.04557819751341,"MIMICS"
386,6.3182088944859,"MIMICS"
387,5.86974319554249,"MIMICS"
388,5.47484123342412,"MIMICS"
389,5.31833202698071,"MIMICS"
390,5.49853066572172,"MIMICS"
391,4.3142115868476,"MIMICS"
392,4.77298018051563,"MIMICS"
393,3.30663316005901,"MIMICS"
394,3.93396482394958,"MIMICS"
395,4.75588174531462,"MIMICS"
396,5.77461294755138,"MIMICS"
397,4.60832586478544,"MIMICS"
398,3.27941914102868,"MIMICS"
399,1.63874818268328,"MIMICS"
400,1.92201325712691,"MIMICS"
401,1.83175810732178,"MIMICS"
402,3.09959236773411,"MIMICS"
403,1.90718077142321,"MIMICS"
404,2.89998897497887,"MIMICS"
405,6.3463533203539,"MIMICS"
406,5.2537437269197,"MIMICS"
407,6.84857779540864,"MIMICS"
408,5.71493482020376,"MIMICS"
409,7.2763551117031,"MIMICS"
410,4.66667753792159,"MIMICS"
411,5.70352511420274,"MIMICS"
412,7.56261393589261,"MIMICS"
413,6.3512339430137,"MIMICS"
415,13.0844424393001,"MIMICS"
417,5.74696736513405,"MIMICS"
418,9.75897257783459,"MIMICS"
419,6.42604330232206,"MIMICS"
420,6.28323290467578,"MIMICS"
421,6.05861591923288,"MIMICS"
422,8.26146808997374,"MIMICS"
423,7.56547110940716,"MIMICS"
424,6.15875824712464,"MIMICS"
425,8.69056630511902,"MIMICS"
426,7.81927773268345,"MIMICS"
427,5.63603972922028,"MIMICS"
429,8.34462099543104,"MIMICS"
430,7.30589280904434,"MIMICS"
431,6.38792644000663,"MIMICS"
432,15.0452919415876,"MIMICS"
433,7.57880189042565,"MIMICS"
434,7.79618951529152,"MIMICS"
435,5.45681362421857,"MIMICS"
436,5.26645145174896,"MIMICS"
437,5.73275399913763,"MIMICS"
439,25.5820339153498,"MIMICS"
440,7.3903478429267,"MIMICS"
441,40.9671862612091,"MIMICS"
442,6.71178795340107,"MIMICS"
443,7.66655222261206,"MIMICS"
444,5.01665739430378,"MIMICS"
445,5.28276703659462,"MIMICS"
446,5.44951986429647,"MIMICS"
447,6.04998949601039,"MIMICS"
448,5.29793982125641,"MIMICS"
449,4.8555726323378,"MIMICS"
450,5.61805406700099,"MIMICS"
451,5.32364222907771,"MIMICS"
452,5.32271115533273,"MIMICS"
454,5.7617390690419,"MIMICS"
455,9.31120872927605,"MIMICS"
456,6.5873909791793,"MIMICS"
457,5.95523316074045,"MIMICS"
458,13.1358910554568,"MIMICS"
460,9.2822381895945,"MIMICS"
461,3.22109832043077,"MIMICS"
462,3.55345026874382,"MIMICS"
463,4.95479460019091,"MIMICS"
464,3.69133915340203,"MIMICS"
465,2.87610186728382,"MIMICS"
466,3.66693352033623,"MIMICS"
467,7.54644291026484,"MIMICS"
468,4.18647047738083,"MIMICS"
469,4.75501043526859,"MIMICS"
470,3.74933126017262,"MIMICS"
472,4.16928124473972,"MIMICS"
473,3.42540175827085,"MIMICS"
474,4.35883594958087,"MIMICS"
475,3.83444422080989,"MIMICS"
476,4.23330467373129,"MIMICS"
477,4.32166311516882,"MIMICS"
478,3.58939977515462,"MIMICS"
479,3.98331163504111,"MIMICS"
480,4.65470938907336,"MIMICS"
481,3.85562710295103,"MIMICS"
482,3.25387748003562,"MIMICS"
483,3.49568539167467,"MIMICS"
484,4.12086573717469,"MIMICS"
485,5.39001165990354,"MIMICS"
486,3.85581129364888,"MIMICS"
487,5.63115987918219,"MIMICS"
488,3.75840720522315,"MIMICS"
489,3.64443679832608,"MIMICS"
490,3.3552295672576,"MIMICS"
492,4.4310232498177,"MIMICS"
493,4.07339626724993,"MIMICS"
494,3.96759786104557,"MIMICS"
495,4.4095540993052,"MIMICS"
496,3.87896553519806,"MIMICS"
497,4.08000110666005,"MIMICS"
498,4.24852470537709,"MIMICS"
499,3.32829438337069,"MIMICS"
500,3.34079299017216,"MIMICS"
501,3.14671018523259,"MIMICS"
502,3.16433713614842,"MIMICS"
503,3.32918527487994,"MIMICS"
504,4.1647615766551,"MIMICS"
505,4.05142082879458,"MIMICS"
506,4.17699294857074,"MIMICS"
507,5.12827151116959,"MIMICS"
508,4.49731406407121,"MIMICS"
509,4.5686347190644,"MIMICS"
510,4.75445085375175,"MIMICS"
511,4.23376275664121,"MIMICS"
512,4.32645306997848,"MIMICS"
513,6.46377888818545,"MIMICS"
514,6.92895271341738,"MIMICS"
515,5.31818543785523,"MIMICS"
516,4.9259123535781,"MIMICS"
517,5.817531144768,"MIMICS"
518,6.86514531462378,"MIMICS"
519,5.15872880106896,"MIMICS"
520,5.92202980301593,"MIMICS"
521,7.68735415152034,"MIMICS"
522,7.03558704724963,"MIMICS"
523,6.46422154273468,"MIMICS"
524,5.39399151369499,"MIMICS"
525,6.63747672284437,"MIMICS"
526,4.68660962059816,"MIMICS"
527,5.09817418586273,"MIMICS"
528,4.22342527358874,"MIMICS"
529,4.14572853345858,"MIMICS"
531,6.9463296893466,"MIMICS"
532,6.04095020011144,"MIMICS"
533,6.82774284274475,"MIMICS"
536,6.46008982750541,"MIMICS"
537,6.15943047702882,"MIMICS"
538,5.95601596060757,"MIMICS"
545,5.61126934293822,"MIMICS"
546,7.05789560463965,"MIMICS"
548,6.03055711271654,"MIMICS"
549,5.04676030279634,"MIMICS"
550,5.95958729285226,"MIMICS"
551,4.85397610349322,"MIMICS"
552,4.27748260987926,"MIMICS"
553,4.14259720776482,"MIMICS"
554,5.27521061752356,"MIMICS"
555,5.05581460445209,"MIMICS"
556,4.5375888148661,"MIMICS"
557,4.69663065458081,"MIMICS"
558,7.48626565721513,"MIMICS"
559,5.41115577109436,"MIMICS"
560,4.24336376337052,"MIMICS"
561,3.89008185875035,"MIMICS"
562,5.09239101976351,"MIMICS"
563,5.50120922187767,"MIMICS"
564,3.10174684993132,"MIMICS"
565,4.70110417004253,"MIMICS"
566,7.05975798351394,"MIMICS"
568,2.82447723490393,"MIMICS"
569,3.70388553255071,"MIMICS"
570,3.0480611969309,"MIMICS"
571,3.00954358614281,"MIMICS"
572,3.58196901050698,"MIMICS"
573,5.92925850526873,"MIMICS"
574,5.88646614274982,"MIMICS"
575,5.8832537268469,"MIMICS"
576,4.72570050529297,"MIMICS"
577,4.9596937677824,"MIMICS"
578,2.4032265329186,"MIMICS"
579,2.08890767815618,"MIMICS"
582,2.6760465054449,"MIMICS"
583,2.23602824077188,"MIMICS"
585,6.7184676418565,"MIMICS"
587,4.71039481053694,"MIMICS"
588,4.84864810452983,"MIMICS"
589,5.1890498898422,"MIMICS"
590,4.35174881634057,"MIMICS"
591,5.52927749325945,"MIMICS"
592,4.65426799079896,"MIMICS"
593,5.5374936065191,"MIMICS"
594,5.37967589956926,"MIMICS"
595,4.75440411676582,"MIMICS"
596,5.20495959517528,"MIMICS"
597,4.59925475172173,"MIMICS"
598,4.64673069917226,"MIMICS"
599,5.14778827873414,"MIMICS"
600,5.04369945061002,"MIMICS"
601,5.43068753671554,"MIMICS"
602,6.29965453709193,"MIMICS"
603,4.92056040981518,"MIMICS"
604,4.94764198107201,"MIMICS"
605,5.63173577862849,"MIMICS"
607,5.7050858427849,"MIMICS"
608,5.64656346621802,"MIMICS"
609,5.30757385961717,"MIMICS"
610,6.77512211288884,"MIMICS"
611,6.08540878346604,"MIMICS"
612,5.77021312009654,"MIMICS"
613,4.89728101580144,"MIMICS"
614,5.03993481443354,"MIMICS"
615,5.08067375412958,"MIMICS"
616,5.68358569476202,"MIMICS"
617,4.92452013917914,"MIMICS"
618,4.6530689722454,"MIMICS"
619,6.10477710946355,"MIMICS"
620,5.54101847619596,"MIMICS"
621,6.75928156896488,"MIMICS"
622,5.07937066726714,"MIMICS"
623,5.33703304086203,"MIMICS"
624,5.65182506548933,"MIMICS"
625,6.5835986603297,"MIMICS"
626,6.41072945875057,"MIMICS"
627,5.42143388473002,"MIMICS"
628,4.27532612565678,"MIMICS"
630,5.6127785012649,"MIMICS"
632,5.7500087585045,"MIMICS"
633,5.12589846454063,"MIMICS"
634,6.05877332806247,"MIMICS"
635,6.03160161385045,"MIMICS"
636,5.06850398608726,"MIMICS"
637,4.83463869793885,"MIMICS"
638,6.99114957311315,"MIMICS"
639,7.74844360008716,"MIMICS"
640,5.78866072704032,"MIMICS"
643,7.82539415368753,"MIMICS"
644,5.22506938551114,"MIMICS"
645,5.02833171520853,"MIMICS"
646,6.07753735144441,"MIMICS"
648,5.52658944277742,"MIMICS"
650,6.05346375445403,"MIMICS"
651,5.92934067134229,"MIMICS"
652,7.67100879343673,"MIMICS"
653,5.46759324283557,"MIMICS"
654,5.70451976044737,"MIMICS"
655,4.77858714306159,"MIMICS"
656,7.87674682574481,"MIMICS"
657,8.96143912645585,"MIMICS"
658,12.3377013165526,"MIMICS"
659,9.74090508746877,"MIMICS"
660,11.689662536273,"MIMICS"
662,6.6050721244352,"MIMICS"
667,11.5471329373219,"MIMICS"
668,7.04387798523811,"MIMICS"
669,8.40182270665233,"MIMICS"
671,9.07989024813384,"MIMICS"
672,8.30806286758369,"MIMICS"
673,5.6974774002268,"MIMICS"
674,7.65536178134215,"MIMICS"
675,8.43647959717745,"MIMICS"
676,5.56012629228677,"MIMICS"
677,6.73951964919307,"MIMICS"
678,6.47073206828105,"MIMICS"
679,6.84235064835449,"MIMICS"
680,5.8585111017015,"MIMICS"
681,5.41447647100697,"MIMICS"
682,7.01640387136138,"MIMICS"
684,6.50904622736781,"MIMICS"
685,5.86719717435815,"MIMICS"
686,7.86792450241038,"MIMICS"
687,6.95700303062074,"MIMICS"
688,10.1222228589793,"MIMICS"
689,7.14267168160532,"MIMICS"
690,7.3884136369903,"MIMICS"
691,8.76250588634704,"MIMICS"
692,6.52329435392776,"MIMICS"
693,4.51418598169018,"MIMICS"
694,5.06364867272539,"MIMICS"
695,5.23212306884592,"MIMICS"
696,10.1971293587631,"MIMICS"
697,7.95227453508095,"MIMICS"
698,5.68372671707597,"MIMICS"
699,9.34698977430057,"MIMICS"
700,8.56240579021708,"MIMICS"
701,5.99107578454091,"MIMICS"
702,5.43900168344674,"MIMICS"
703,5.77473343492251,"MIMICS"
704,6.36063426178927,"MIMICS"
706,3.89294233882964,"MIMICS"
707,5.73842774324152,"MIMICS"
708,4.64319011312007,"MIMICS"
709,13.835809056553,"MIMICS"
710,18.5541943404191,"MIMICS"
711,21.71033954285,"MIMICS"
712,9.20811708567622,"MIMICS"
713,15.3988033900689,"MIMICS"
714,9.89990599191558,"MIMICS"
716,12.7410550921591,"MIMICS"
717,11.4682133097727,"MIMICS"
718,12.9708797089085,"MIMICS"
719,13.2409977665988,"MIMICS"
720,11.168111404691,"MIMICS"
721,9.80239633780013,"MIMICS"
722,13.7306037106944,"MIMICS"
723,11.5958644427299,"MIMICS"
724,14.9350200081148,"MIMICS"
725,18.9630357370173,"MIMICS"
726,9.24172227044676,"MIMICS"
727,12.0207517419138,"MIMICS"
728,11.6726179967628,"MIMICS"
729,11.0493490905154,"MIMICS"
730,12.5589117814755,"MIMICS"
731,13.5236177607163,"MIMICS"
732,13.4786041376065,"MIMICS"
733,10.7812443796149,"MIMICS"
734,9.11911896535821,"MIMICS"
735,10.4056919070192,"MIMICS"
736,12.7726259664531,"MIMICS"
737,10.219538502892,"MIMICS"
738,12.1107164401302,"MIMICS"
739,12.8820612521099,"MIMICS"
740,12.9359729211418,"MIMICS"
741,18.4169124791388,"MIMICS"
742,13.0175242905957,"MIMICS"
743,9.00031841239961,"MIMICS"
744,14.3864898501604,"MIMICS"
745,10.281901580244,"MIMICS"
746,15.2701835785319,"MIMICS"
747,14.2493374207106,"MIMICS"
748,11.6654980031459,"MIMICS"
749,10.8615095102211,"MIMICS"
750,9.87363885429999,"MIMICS"
751,8.87018437691059,"MIMICS"
752,17.8697458394955,"MIMICS"
753,14.779732815444,"MIMICS"
754,10.814868676121,"MIMICS"
755,11.0569906690771,"MIMICS"
756,8.75391304921122,"MIMICS"
757,11.5944110965285,"MIMICS"
758,10.9481704985077,"MIMICS"
759,10.0217253037047,"MIMICS"
760,13.3194277960049,"MIMICS"
761,18.6708793970231,"MIMICS"
762,12.6872947918403,"MIMICS"
763,14.7144896432701,"MIMICS"
764,11.8040894580121,"MIMICS"
765,13.869953883875,"MIMICS"
766,18.7832875988314,"MIMICS"
767,11.0350163657564,"MIMICS"
768,9.92329911401151,"MIMICS"
769,12.6947509410799,"MIMICS"
770,12.3534281446442,"MIMICS"
771,11.5377127327379,"MIMICS"
772,10.6427237032117,"MIMICS"
773,10.851636513061,"MIMICS"
774,12.4693351989686,"MIMICS"
775,12.4396045119527,"MIMICS"
776,11.2299579084141,"MIMICS"
777,10.0843584881533,"MIMICS"
778,12.1624662616543,"MIMICS"
779,13.4459086004111,"MIMICS"
780,12.3391463001794,"MIMICS"
781,17.4318899824064,"MIMICS"
782,13.2249527904291,"MIMICS"
783,10.2629709763298,"MIMICS"
784,13.4627731960441,"MIMICS"
785,13.7274387675612,"MIMICS"
786,10.417245127513,"MIMICS"
787,10.4075465174898,"MIMICS"
788,10.0521906380907,"MIMICS"
789,10.1045763684076,"MIMICS"
790,8.64593586485638,"MIMICS"
791,13.9586663878357,"MIMICS"
792,10.6177801686191,"MIMICS"
793,8.15672831845136,"MIMICS"
794,18.0970069259737,"MIMICS"
795,10.1512304546062,"MIMICS"
796,9.28262603353735,"MIMICS"
797,16.47886291835,"MIMICS"
798,11.7740531392273,"MIMICS"
799,9.71789802318694,"MIMICS"
800,11.663203604135,"MIMICS"
801,9.4432087394924,"MIMICS"
802,10.6778882875812,"MIMICS"
803,13.2598939137783,"MIMICS"
804,10.0659160835356,"MIMICS"
805,10.2568116744125,"MIMICS"
806,12.9605745585861,"MIMICS"
807,10.8426282367914,"MIMICS"
808,11.6250274506847,"MIMICS"
809,10.7541908201276,"MIMICS"
810,9.72459515634937,"MIMICS"
811,11.0164060450721,"MIMICS"
812,0,"MIMICS"
813,0,"MIMICS"
814,0,"MIMICS"
815,0.269084375735341,"MIMICS"
816,0,"MIMICS"
817,0,"MIMICS"
818,0,"MIMICS"
819,0,"MIMICS"
820,0,"MIMICS"
821,0,"MIMICS"
822,0,"MIMICS"
823,0,"MIMICS"
824,0.389601346699428,"MIMICS"
825,2.35072504207547,"MIMICS"
826,2.32153714012506,"MIMICS"
827,2.29196035393947,"MIMICS"
828,2.83381614707614,"MIMICS"
829,2.46432332722747,"MIMICS"
830,2.32712495766046,"MIMICS"
831,2.27911138548234,"MIMICS"
832,0.402798043893881,"MIMICS"
833,0,"MIMICS"
835,0,"MIMICS"
836,5.18736556489881,"MIMICS"
837,3.78134310329115,"MIMICS"
838,2.96889036041172,"MIMICS"
839,2.96727932674116,"MIMICS"
840,3.43854327847201,"MIMICS"
841,3.4265142460706,"MIMICS"
842,2.98276907836607,"MIMICS"
843,3.05526619236399,"MIMICS"
844,6.03957219723013,"MIMICS"
845,6.27287848149694,"MIMICS"
846,7.87303285546986,"MIMICS"
847,5.41446644437865,"MIMICS"
848,6.3284183136301,"MIMICS"
849,5.0709653119959,"MIMICS"
850,3.61181637527116,"MIMICS"
851,3.50175669891481,"MIMICS"
852,3.49586764561704,"MIMICS"
853,4.12056221762211,"MIMICS"
854,3.54178158787366,"MIMICS"
855,3.9171664446226,"MIMICS"
856,3.34602980169291,"MIMICS"
857,3.49025232739972,"MIMICS"
858,4.01481996282554,"MIMICS"
859,5.64764149482153,"MIMICS"
860,6.28045636024345,"MIMICS"
861,10.1815881318965,"MIMICS"
863,6.28784720882206,"MIMICS"
864,5.31710172799236,"MIMICS"
865,6.41899522493565,"MIMICS"
866,6.00368360468334,"MIMICS"
867,8.88335502785683,"MIMICS"
868,6.78996174890893,"MIMICS"
869,9.14412079480996,"MIMICS"
870,6.40999904961975,"MIMICS"
871,4.91441883345612,"MIMICS"
872,7.35815686246755,"MIMICS"
873,5.36264002251229,"MIMICS"
874,7.46471641108928,"MIMICS"
875,6.77985686637321,"MIMICS"
876,16.6706736195359,"MIMICS"
877,6.91289531448712,"MIMICS"
878,6.08561608053967,"MIMICS"
879,8.79067567190797,"MIMICS"
880,8.32145597429388,"MIMICS"
881,6.14087962890131,"MIMICS"
882,5.48530117441229,"MIMICS"
883,5.63638042707807,"MIMICS"
884,4.85589760476365,"MIMICS"
885,8.46279511712311,"MIMICS"
886,3.74544456475101,"MIMICS"
887,4.30408267667746,"MIMICS"
888,3.68734617501664,"MIMICS"
889,4.59822684992991,"MIMICS"
890,6.27530435508637,"MIMICS"
891,3.56287260651203,"MIMICS"
892,3.03958992105813,"MIMICS"
893,4.38602006157628,"MIMICS"
894,3.54604445150631,"MIMICS"
895,2.96844708804537,"MIMICS"
896,2.91172698448388,"MIMICS"
897,2.96911801847872,"MIMICS"
898,2.96953000437607,"MIMICS"
899,2.86533662573596,"MIMICS"
900,2.92689991435729,"MIMICS"
901,3.90626926955867,"MIMICS"
902,2.92313394797542,"MIMICS"
903,2.66684363934278,"MIMICS"
905,2.99065305109418,"MIMICS"
907,2.90438225946483,"MIMICS"
908,5.02173738002181,"MIMICS"
909,3.47085274526281,"MIMICS"
910,3.16465818226854,"MIMICS"
911,2.90782008752287,"MIMICS"
913,8.32952140130215,"MIMICS"
914,12.2098467802729,"MIMICS"
915,5.41448459157999,"MIMICS"
916,3.69606871810681,"MIMICS"
917,3.64324127916531,"MIMICS"
919,5.70086649991871,"MIMICS"
920,3.54765652693338,"MIMICS"
921,4.42166946404821,"MIMICS"
922,5.34377862537678,"MIMICS"
923,4.41816039343288,"MIMICS"
924,5.07468588482558,"MIMICS"
925,6.05518207834691,"MIMICS"
926,5.32324983244814,"MIMICS"
928,4.67206523623004,"MIMICS"
929,5.8070150221578,"MIMICS"
930,4.65133554974822,"MIMICS"
931,5.87000012977694,"MIMICS"
932,4.85513928354615,"MIMICS"
933,5.74445039832291,"MIMICS"
934,15.6980820006158,"MIMICS"
935,13.4546747896851,"MIMICS"
936,6.47708262336348,"MIMICS"
937,33.869968006664,"MIMICS"
938,4.99263858395332,"MIMICS"
939,5.29267927224228,"MIMICS"
940,4.60667705855569,"MIMICS"
941,13.1899591756372,"MIMICS"
942,5.86384411403982,"MIMICS"
943,12.7718878203624,"MIMICS"
944,11.543090956071,"MIMICS"
945,9.24819335996993,"MIMICS"
946,12.6134009158808,"MIMICS"
947,14.807849907682,"MIMICS"
948,7.07675833853323,"MIMICS"
949,7.8948530495917,"MIMICS"
950,6.78599518952858,"MIMICS"
951,13.6991154632721,"MIMICS"
952,8.36403330790105,"MIMICS"
953,8.66721497046727,"MIMICS"
955,7.25009366660754,"MIMICS"
956,11.9716426772763,"MIMICS"
957,12.7775328746465,"MIMICS"
958,6.7009387296053,"MIMICS"
959,4.60218732978678,"MIMICS"
960,6.81049633213817,"MIMICS"
961,4.80525161995706,"MIMICS"
962,5.82049397878296,"MIMICS"
963,4.98462987305503,"MIMICS"
964,5.62931246276392,"MIMICS"
965,9.01823116955184,"MIMICS"
966,6.1025192232867,"MIMICS"
967,8.04305034543244,"MIMICS"
968,5.89316606416939,"MIMICS"
970,5.91666517334619,"MIMICS"
971,5.65951412031948,"MIMICS"
972,5.55139648744687,"MIMICS"
973,6.22673887618654,"MIMICS"
974,6.58792165739058,"MIMICS"
975,5.62072785858512,"MIMICS"
976,6.59315143840813,"MIMICS"
978,6.93169697547424,"MIMICS"
979,5.81510621267251,"MIMICS"
980,4.84810020335233,"MIMICS"
981,5.39815428275695,"MIMICS"
982,8.52512405223113,"MIMICS"
